step,sol,hour,temperature_c,wind_ms,tau,storm,solar_kw,wind_kw,nuclear_kw,generation_kw,consumption_kw,battery_kwh,battery_pct,broken_count,energy_level,slope,predicted_delta,mod1_ok,mod2_ok,mod3_ok,mod7_ok,mod6_ok,mod8_ok
69,2,21,-63.033,2.293,1.5,light,0.0,0.0,80.0,80.0,84.101,175.794,35.16,1,LOW,-0.1382,-6.681,1,1,1,1,1,1
70,2,22,-68.245,2.546,1.5,light,0.0,0.0,80.0,80.0,82.791,173.003,34.6,1,LOW,-0.198,-7.7105,1,1,1,1,1,1
71,2,23,-74.915,2.004,1.5,light,0.0,0.0,80.0,80.0,82.668,170.334,34.07,0,LOW,-0.2572,-8.6944,1,1,1,1,1,1
72,3,0,-81.76,3.428,1.5,light,0.0,1.07,80.0,81.07,81.808,169.596,33.92,0,LOW,-0.3247,-9.8304,1,1,1,1,1,1
73,3,1,-87.501,6.175,1.559,light,0.0,7.938,80.0,87.938,81.636,175.898,35.18,0,LOW,-0.3901,-10.8738,1,1,1,1,1,1
74,3,2,-93.918,4.104,1.5,light,0.0,2.761,80.0,82.761,84.175,174.484,34.9,0,LOW,-0.4413,-11.4167,1,1,1,1,1,1
75,3,3,-97.733,4.123,1.5,light,0.0,2.807,80.0,82.807,84.02,173.271,34.65,0,LOW,-0.4884,-12.2342,1,1,1,1,1,1
76,3,4,-94.334,4.818,1.5,light,0.0,4.545,0.0,4.545,75.662,102.154,20.43,1,LOW,-0.5313,-12.9871,1,1,1,1,1,1
77,3,5,-91.655,2.416,1.5,light,0.0,0.0,0.0,0.0,8.463,93.692,18.74,1,LOW,-0.7365,-19.3117,1,1,1,1,1,1
78,3,6,-86.815,1.718,1.5,light,0.0,0.0,0.0,0.0,6.65,87.042,17.41,2,CRITICAL,-0.7709,-20.1781,0,1,1,1,1,1
79,3,7,-76.593,4.611,1.5,light,5.729,4.029,0.0,9.758,9.456,87.343,17.47,2,CRITICAL,-0.794,-20.783,0,1,1,1,1,1
80,3,8,-67.324,6.084,1.554,light,10.483,7.71,0.0,18.194,14.849,90.688,18.14,2,CRITICAL,-0.7331,-19.7,0,1,1,1,1,1
81,3,9,-58.687,10.106,1.755,light,12.125,17.766,0.0,29.89,28.192,92.387,18.48,2,CRITICAL,-0.6443,-18.0132,0,1,1,1,1,1
82,3,10,-50.573,10.327,1.766,light,14.687,18.318,0.0,33.004,31.63,93.762,18.75,2,CRITICAL,-0.5273,-15.9022,0,1,1,1,1,1
83,3,11,-40.287,10.351,1.768,light,16.361,18.378,0.0,34.739,33.471,95.03,19.01,2,CRITICAL,-0.4071,-13.722,0,1,1,1,1,1
84,3,12,-30.825,11.624,1.831,light,15.894,21.56,0.0,37.454,37.189,95.295,19.06,2,CRITICAL,-0.2682,-11.2018,0,1,1,1,1,1
85,3,13,-30.535,11.789,1.839,light,15.226,21.974,0.0,37.2,35.1,97.394,19.48,2,CRITICAL,-0.1218,-8.5618,0,1,1,1,1,1
86,3,14,-26.172,8.093,1.655,light,16.423,12.731,0.0,29.154,25.483,101.066,20.21,2,CRITICAL,0.0279,-5.7542,0,1,1,1,1,1
87,3,15,-26.887,7.233,1.612,light,13.998,10.583,0.0,24.581,23.787,101.859,20.37,2,LOW,0.1777,-2.8449,0,1,1,1,1,1
88,3,16,-27.224,6.766,1.588,light,10.132,9.414,0.0,19.546,16.112,105.293,21.06,2,LOW,0.2992,-0.4927,0,1,1,1,1,1
89,3,17,-33.421,7.911,1.646,light,4.953,12.279,0.0,17.231,22.069,100.455,20.09,2,LOW,0.4033,1.7005,0,1,1,1,1,1
90,3,18,-33.865,4.824,1.5,light,0.0,4.559,0.0,4.559,6.892,98.123,19.62,2,LOW,0.4391,2.4345,0,1,1,1,1,1
91,3,19,-42.855,4.804,1.5,light,0.0,4.51,0.0,4.51,6.805,95.828,19.17,2,CRITICAL,0.4247,2.4384,0,1,1,1,1,1
92,3,20,-47.119,5.395,1.52,light,0.0,5.989,0.0,5.989,6.719,95.098,19.02,2,CRITICAL,0.4085,2.3998,0,1,1,1,1,1
93,3,21,-59.44,2.48,1.5,light,0.0,0.0,0.0,0.0,6.691,88.407,17.68,2,CRITICAL,0.3944,2.4458,0,1,1,1,1,1
94,3,22,-70.945,3.56,1.5,light,0.0,1.4,0.0,1.4,6.44,83.367,16.67,2,CRITICAL,0.3631,1.9451,0,1,1,1,1,1
95,3,23,-78.857,1.268,1.5,light,0.0,0.0,80.0,80.0,49.76,113.607,22.72,1,CRITICAL,0.3357,1.5678,0,1,1,1,1,1
96,4,0,-85.164,0.0,1.5,light,0.0,0.0,80.0,80.0,58.787,134.82,26.96,1,LOW,0.3957,4.0734,0,1,1,1,1,1
97,4,1,-85.172,2.876,1.5,light,0.0,0.0,80.0,80.0,65.119,149.701,29.94,1,LOW,0.4273,5.6945,0,1,1,1,1,1
98,4,2,-96.253,1.153,1.5,light,0.0,0.0,80.0,80.0,70.318,159.384,31.88,1,LOW,0.4409,6.7238,0,1,1,1,1,1
99,4,3,-94.898,4.982,1.5,light,0.0,4.956,80.0,84.956,73.101,171.239,34.25,1,LOW,0.4157,6.8664,0,1,1,1,1,1
100,4,4,-95.814,2.108,1.5,light,0.0,0.0,80.0,80.0,76.712,174.527,34.91,1,LOW,0.4118,7.4206,0,1,1,1,1,1
101,4,5,-89.022,1.812,1.5,light,0.0,0.0,80.0,80.0,83.346,171.181,34.24,0,LOW,0.3714,6.989,1,1,1,1,1,1
102,4,6,-81.647,3.628,1.5,light,0.0,1.57,80.0,81.57,82.081,170.67,34.13,0,LOW,0.2999,5.7474,1,1,1,1,1,1
103,4,7,-75.848,8.695,1.685,light,4.753,14.238,80.0,98.991,81.916,187.745,37.55,0,LOW,0.2363,4.7326,1,1,1,1,1,1
104,4,8,-66.045,6.199,1.56,light,10.402,7.998,80.0,98.4,87.423,198.722,39.74,0,LOW,0.2645,5.9414,1,1,1,1,1,1
105,4,9,-60.462,9.423,1.721,light,12.521,16.058,80.0,108.579,90.963,216.338,43.27,0,LOW,0.2797,6.6658,1,1,1,1,1,1
106,4,10,-51.385,9.168,1.708,light,15.532,15.42,80.0,110.952,96.644,230.646,46.13,0,HIGH,0.3181,8.0321,1,1,1,1,1,1
107,4,11,-40.134,12.005,1.85,light,15.032,22.514,80.0,117.546,82.42,265.772,53.15,1,HIGH,0.3731,9.5233,1,1,1,1,1,1
108,4,12,-33.817,11.002,1.8,light,16.363,20.004,80.0,116.368,87.5,294.639,58.93,1,HIGH,0.4763,12.6619,1,1,1,1,1,1
109,4,13,-29.112,10.421,1.771,light,16.271,18.553,80.0,114.824,87.5,321.963,64.39,1,HIGH,0.5652,15.2803,1,1,1,1,1,1
110,4,14,-28.356,7.571,1.629,light,16.823,11.428,80.0,108.25,87.5,342.714,68.54,1,HIGH,0.6331,17.4698,1,1,1,1,1,1
111,4,15,-24.722,8.751,1.688,light,12.949,14.378,80.0,107.327,87.5,362.54,72.51,1,HIGH,0.6774,18.975,1,1,1,1,1,1
112,4,16,-27.315,7.132,1.607,light,9.928,10.33,80.0,100.258,87.5,375.298,75.06,1,HIGH,0.7041,20.1309,1,1,1,1,1,1
113,4,17,-30.293,1.832,1.5,light,5.717,0.0,80.0,85.717,87.5,373.516,74.7,1,HIGH,0.6998,20.4623,1,1,1,1,1,1
114,4,18,-31.283,5.665,0.533,clear,0.0,6.663,80.0,86.663,87.5,372.678,74.54,1,HIGH,0.6537,19.4858,1,1,1,1,1,1
115,4,19,-44.253,2.276,0.5,clear,0.0,0.0,80.0,80.0,87.5,365.178,73.04,1,HIGH,0.5996,18.4087,1,1,1,1,1,1
116,4,20,-47.993,3.171,0.5,clear,0.0,0.428,80.0,80.428,87.5,358.107,71.62,1,HIGH,0.5391,16.9436,1,1,1,1,1,1
117,4,21,-60.022,4.307,0.5,clear,0.0,3.267,80.0,83.267,87.5,353.873,70.77,1,HIGH,0.4856,15.6104,1,1,1,1,1,1
118,4,22,-64.918,2.35,0.5,clear,0.0,0.0,80.0,80.0,87.5,346.373,69.27,1,HIGH,0.4446,14.6018,1,1,1,1,1,1
119,4,23,-76.567,4.461,0.5,clear,0.0,3.653,80.0,83.653,87.5,342.526,68.51,1,HIGH,0.3987,13.3795,1,1,1,1,1,1
120,5,0,-81.235,2.285,0.5,clear,0.0,0.0,80.0,80.0,87.5,335.026,67.01,1,HIGH,0.3629,12.4795,1,1,1,1,1,1
121,5,1,-90.175,2.374,0.5,clear,0.0,0.0,80.0,80.0,86.777,328.25,65.65,2,HIGH,0.3232,11.3638,1,1,1,1,1,1
122,5,2,-93.316,5.593,0.53,clear,0.0,6.483,80.0,86.483,87.025,327.707,65.54,2,HIGH,0.3047,10.6385,1,1,1,1,1,1
123,5,3,-93.992,4.1,0.5,clear,0.0,2.75,80.0,82.75,87.078,323.379,64.68,2,HIGH,0.283,10.1254,1,1,1,1,1,1
124,5,4,-96.048,4.728,0.5,clear,0.0,4.319,80.0,84.319,87.241,320.457,64.09,2,HIGH,0.2521,9.3034,1,1,1,1,1,1
125,5,5,-88.037,3.012,0.5,clear,0.0,0.03,80.0,80.03,86.608,313.879,62.78,2,HIGH,0.0392,5.5084,1,1,1,1,1,1
126,5,6,-84.415,4.7,0.5,clear,0.0,4.251,80.0,84.251,86.5,311.63,62.33,2,HIGH,-0.0238,4.0045,1,1,1,1,1,1
127,5,7,-75.013,4.388,0.5,clear,0.0,3.47,80.0,83.47,86.5,308.6,61.72,2,HIGH,-0.0711,2.9367,1,1,1,1,1,1
128,5,8,-69.91,7.467,0.623,clear,0.0,11.169,80.0,91.169,86.5,313.269,62.65,2,HIGH,-0.1024,2.1003,1,1,1,1,1,1
129,5,9,-58.768,8.908,0.695,clear,0.0,14.77,80.0,94.77,86.5,321.539,64.31,2,HIGH,-0.1056,2.0492,1,1,1,1,1,1
130,5,10,-48.566,10.946,0.797,clear,0.0,19.866,80.0,99.866,106.5,314.904,62.98,1,HIGH,-0.1042,2.2217,1,1,1,1,1,1
131,5,11,-39.656,9.826,0.741,clear,0.0,17.065,80.0,97.065,106.5,305.47,61.09,1,HIGH,-0.1423,1.1203,1,1,1,1,1,1
132,5,12,-34.138,11.149,0.807,clear,0.0,20.372,80.0,100.372,106.5,299.341,59.87,1,NOMINAL,-0.187,-0.1979,1,1,1,1,1,1
133,5,13,-28.821,11.545,0.827,clear,0.0,21.362,80.0,101.362,98.5,302.203,60.44,2,NOMINAL,-0.2248,-1.2565,0,1,1,1,1,1
134,5,14,-24.558,11.175,0.809,clear,0.0,20.439,80.0,100.439,98.5,304.142,60.83,2,NOMINAL,-0.2341,-1.4677,0,1,1,1,1,1
135,5,15,-21.647,10.938,0.797,clear,0.0,19.846,80.0,99.846,98.5,305.488,61.1,2,NOMINAL,-0.2416,-1.6881,0,1,1,1,1,1
136,5,16,-26.744,8.289,0.664,clear,0.0,13.222,80.0,93.222,98.5,300.21,60.04,2,NOMINAL,-0.2581,-2.0808,0,1,1,1,1,1
137,5,17,-30.422,2.189,0.5,clear,0.0,0.0,80.0,80.0,78.5,301.71,60.34,3,NOMINAL,-0.2845,-2.91,0,1,1,1,1,1
138,5,18,-34.598,2.858,0.5,clear,0.0,0.0,80.0,80.0,78.5,303.21,60.64,3,NOMINAL,-0.3147,-3.5178,0,1,1,1,1,1
139,5,19,-42.999,4.251,0.5,clear,0.0,3.128,80.0,83.128,78.5,307.838,61.57,3,NOMINAL,-0.3389,-4.0315,0,1,1,1,1,1
140,5,20,-48.936,1.74,0.5,clear,0.0,0.0,80.0,80.0,78.5,309.338,61.87,3,NOMINAL,-0.3555,-4.2929,0,1,1,1,1,1
141,5,21,-59.278,1.4,0.5,clear,0.0,0.0,80.0,80.0,78.5,310.838,62.17,3,NOMINAL,-0.3766,-4.7641,0,1,1,1,1,1
142,5,22,-72.219,2.892,0.5,clear,0.0,0.0,80.0,80.0,86.5,304.338,60.87,2,NOMINAL,-0.4139,-5.5055,1,1,1,1,1,1
143,5,23,-76.379,5.606,0.53,clear,0.0,6.515,80.0,86.515,86.5,304.353,60.87,2,NOMINAL,-0.468,-6.8622,1,1,1,1,1,1
144,6,0,-88.153,1.809,0.5,clear,0.0,0.0,80.0,80.0,86.617,297.736,59.55,2,NOMINAL,-0.4115,-6.1082,1,1,1,1,1,1
145,6,1,-85.29,0.613,0.5,clear,0.0,0.0,80.0,80.0,87.5,290.236,58.05,1,NOMINAL,-0.3927,-6.2266,1,1,1,1,1,1
146,6,2,-94.472,6.661,0.583,clear,0.0,9.153,80.0,89.153,88.116,291.273,58.25,1,NOMINAL,-0.3899,-6.6253,1,1,1,1,1,1
147,6,3,-92.505,1.48,0.5,clear,0.0,0.0,80.0,80.0,87.961,283.312,56.66,1,NOMINAL,-0.3768,-6.4834,1,1,1,1,1,1
148,6,4,-90.755,3.472,0.5,clear,0.0,1.18,80.0,81.18,87.823,276.669,55.33,1,NOMINAL,-0.3799,-6.9721,1,1,1,1,1,1
149,6,5,-90.509,0.986,0.5,clear,0.0,0.0,80.0,80.0,87.803,268.866,53.77,1,NOMINAL,-0.4002,-7.678,1,1,1,1,1,1
150,6,6,-84.888,1.038,0.5,clear,0.0,0.0,80.0,80.0,87.5,261.366,52.27,1,NOMINAL,-0.4401,-8.7482,1,1,1,1,1,1
151,6,7,-72.883,2.74,0.5,clear,15.478,0.0,80.0,95.478,87.5,269.344,53.87,1,NOMINAL,-0.4712,-9.6557,1,1,1,1,1,1
152,6,8,-67.762,6.192,0.56,clear,28.172,7.98,80.0,116.152,87.5,297.996,59.6,1,NOMINAL,-0.4153,-8.4752,1,1,1,1,1,1
153,6,9,-56.581,8.204,0.66,clear,36.028,13.01,80.0,129.038,87.5,339.534,67.91,1,NOMINAL,-0.3219,-5.818,1,1,1,1,1,1
154,6,10,-50.632,11.767,0.838,clear,36.924,21.918,80.0,138.842,87.5,390.877,78.18,1,NOMINAL,-0.1798,-1.8396,1,1,1,1,1,1
155,6,11,-42.785,11.945,0.847,clear,40.82,22.361,80.0,143.181,87.5,446.558,89.31,1,HIGH,-0.0242,2.7454,1,1,1,1,1,1
156,6,12,-33.208,7.953,0.648,clear,51.596,12.381,80.0,143.977,87.5,500.0,100.0,1,HIGH,0.1939,8.5164,1,1,1,1,1,1
157,6,13,-24.787,12.959,0.898,clear,38.801,24.898,80.0,143.699,87.5,500.0,100.0,1,SURPLUS,0.3951,14.0217,1,1,1,1,1,1
158,6,14,-27.525,10.166,0.758,clear,40.001,17.916,80.0,137.917,107.5,500.0,100.0,0,SURPLUS,0.5885,19.3618,1,1,1,1,1,1
159,6,15,-26.512,7.572,0.629,clear,37.185,11.43,80.0,128.615,107.5,500.0,100.0,0,SURPLUS,0.6955,22.1853,1,1,1,1,1,1
160,6,16,-22.245,8.774,0.689,clear,24.76,14.435,80.0,119.195,107.5,500.0,100.0,0,SURPLUS,0.7753,24.167,1,1,1,1,1,1
161,6,17,-33.865,3.632,0.5,clear,15.478,1.581,80.0,97.059,107.5,489.559,97.91,0,SURPLUS,0.8121,25.0469,1,1,1,1,1,1
162,6,18,-36.661,0.208,0.5,clear,0.0,0.0,80.0,80.0,107.5,462.059,92.41,0,SURPLUS,0.7539,23.4404,1,1,1,1,1,1
163,6,19,-40.327,2.321,0.5,clear,0.0,0.0,80.0,80.0,107.5,434.559,86.91,0,SURPLUS,0.6557,20.4774,1,1,1,1,1,1
164,6,20,-53.173,3.98,0.5,clear,0.0,2.451,80.0,82.451,107.5,409.51,81.9,0,HIGH,0.5426,17.2898,1,1,1,1,1,1
165,6,21,-57.686,2.357,0.5,clear,0.0,0.0,80.0,80.0,107.5,382.01,76.4,0,HIGH,0.439,14.3787,1,1,1,1,1,1
166,6,22,-67.969,1.246,0.5,clear,0.0,0.0,80.0,80.0,107.5,354.51,70.9,0,HIGH,0.3388,11.437,1,1,1,1,1,1
167,6,23,-77.585,3.417,0.5,clear,0.0,1.044,80.0,81.044,107.5,328.054,65.61,0,HIGH,0.2323,8.4124,1,1,1,1,1,1
